Rm,Sm,Rn,Sn,RS_Gr,RS_Gn,chi2_pvalue,diff_entropy,lsb_diff_entropy,median_prefix_p,chi2_stat,label,photo_id,variant,method,p,density,changed_frac
27418,17879,21322,13535,0.1455535888671875,0.1188201904296875,6.998214498219189e-102,5.6711941204337295,0.9993477011931664,4.277516128648715e-92,822.5806250673029,0,183,clean,,,,
27142,17939,21059,13595,0.1404266357421875,0.1138916015625,1.8012505429863422e-91,5.671915324925726,0.9994667609434245,8.386676759613381e-83,765.6238033461934,1,183,v0,nsF5,3,0.25,0.0318
26876,18028,20836,13664,0.135009765625,0.10943603515625,1.1291384686082113e-83,5.672469709490831,0.9996357443517027,7.976982923511862e-77,722.4216930728916,1,183,v1,nsF5,3,0.55,0.0698
26819,18145,20717,13735,0.132354736328125,0.106536865234375,6.605862674786427e-70,5.672591566486571,0.9997182005280514,3.0227911217010723e-65,644.7382536185157,1,183,v2,nsF5,2,0.35,0.0888
26366,18401,20012,13952,0.1215362548828125,0.09246826171875,1.1253161648908096e-60,5.672121959617776,0.9999366924078013,3.7175914585123616e-58,591.3871348156159,1,183,v3,nsF5,2,0.85,0.2150
26125,18267,20217,13909,0.119903564453125,0.09625244140625,3.454439967158939e-75,5.673773204634744,0.9996073267867123,4.3329759668521125e-68,674.7771883648402,1,183,v4,matrix,3,0.5,0.0627
24237,19403,18391,14768,0.073760986328125,0.0552825927734375,8.639840848678262e-29,5.678063385390716,0.9999158976435025,9.628307192509118e-26,393.5106203057378,1,183,v5,matrix,2,0.8,0.1999
24390,20233,18427,15019,0.0634307861328125,0.052001953125,1.7885917310964375e-94,6.08779998930441,0.9997906518647302,6.930868892991388e-73,782.1332961369645,0,184,clean,,,,
24311,20244,18347,15026,0.0620574951171875,0.0506744384765625,1.1407857517071434e-75,6.08743006367237,0.9998397915687611,6.949331033511734e-59,677.498341787188,1,184,v0,nsF5,3,0.25,0.0320
24237,20178,18232,15068,0.0619354248046875,0.04827880859375,1.3860164641139738e-63,6.0867285255005585,0.9998959635266258,3.7191072074153705e-48,608.3301464995504,1,184,v1,nsF5,3,0.55,0.0703
24081,20350,18204,14975,0.0569305419921875,0.0492706298828125,1.4952283222146636e-61,6.086389542805494,0.9998625096868936,7.423113026568234e-45,596.5049965915375,1,184,v2,nsF5,2,0.35,0.0894
24023,20305,18108,15135,0.056732177734375,0.0453643798828125,1.1307959870657373e-30,6.083677091001872,0.9999643993926225,4.2053133466063096e-18,406.132132407569,1,184,v3,nsF5,2,0.85,0.2163
23895,20346,17985,15238,0.0541534423828125,0.0419158935546875,3.1129194661880054e-65,6.0877712984473265,0.9998915467869284,8.91299384173472e-51,617.8761068651036,1,184,v4,matrix,3,0.5,0.0631
22915,20903,17373,15554,0.03070068359375,0.0277557373046875,1.397999763272569e-23,6.087539570420136,0.9999564874440696,1.3775308355474077e-14,357.53792909440347,1,184,v5,matrix,2,0.8,0.2010
35408,5918,30297,7728,0.449981689453125,0.3443756103515625,5.472692525874135e-147,2.79436202821055,0.9963117835009677,1.1266986779443605e-140,1062.4694381425873,0,185,clean,,,,
34915,6136,29820,7973,0.4391326904296875,0.3333587646484375,7.551003156739866e-143,2.807910961006006,0.9972058774906909,3.4338499555132096e-134,1040.8160813364748,1,185,v0,nsF5,3,0.25,0.0319
34401,6461,29282,8131,0.42633056640625,0.3227386474609375,5.377990125477327e-141,2.8222689775515484,0.9981320222457445,3.969123327271182e-130,1031.1060528030007,1,185,v1,nsF5,3,0.55,0.0699
33962,6578,28750,8127,0.4178466796875,0.3146820068359375,3.430983706704608e-131,2.82897628025279,0.9983183394947729,4.346567623628677e-130,979.4982218178247,1,185,v2,nsF5,2,0.35,0.0883
32649,7476,27372,8741,0.3841094970703125,0.2842864990234375,8.133100755403297e-124,2.8602479342534,0.9995921277539181,8.016310291207837e-124,940.4178483313117,1,185,v3,nsF5,2,0.85,0.2148
32085,7248,27465,8914,0.3789825439453125,0.2830657958984375,5.1022026243661366e-102,2.8224974248968784,0.9979781920910027,1.376205039080046e-96,823.3264571667563,1,185,v4,matrix,3,0.5,0.0629
25856,10653,22319,11522,0.2319793701171875,0.1647491455078125,2.0641684983552292e-27,2.8758043167848646,0.9994964752637417,7.12345337994335e-28,384.15405651778036,1,185,v5,matrix,2,0.8,0.2002
35709,2922,34150,6853,0.5002899169921875,0.4165191650390625,0.0,2.6626349497793647,0.9799358028575373,2.636832761287207e-224,2296.519417058212,0,186,clean,,,,
34882,3145,33227,6990,0.4842681884765625,0.4003448486328125,0.0,2.6830139567075437,0.984584281513505,1.6383821026898076e-213,2199.1653486251603,1,186,v0,nsF5,3,0.25,0.0318
34120,3423,32350,7229,0.4683990478515625,0.3833160400390625,0.0,2.7032240628729665,0.9889755403224479,5.259399395462343e-199,2028.4692034337845,1,186,v1,nsF5,3,0.55,0.0695
33732,3804,31934,7530,0.4566650390625,0.37237548828125,0.0,2.711647107632958,0.9907552723631561,5.599984366261301e-216,2061.2814580135737,1,186,v2,nsF5,2,0.35,0.0883
